,Month,Year,Regular Ptrl (c),Diesel (c),Num_Month,Qtr
0,Mar,2022,182.4,190.5,3.0,1.0
1,Feb,2022,177.3,167.6,2.0,1.0
2,Jan,2022,175.5,166.1,1.0,1.0
3,Dec,2021,172.5,161.9,12.0,4.0
4,Nov,2021,172.6,163.3,11.0,4.0
5,Oct,2021,164.6,156.6,10.0,4.0
7,Sept,2021,155.9,144.9,9.0,3.0
8,Aug,2021,155.0,144.4,8.0,3.0
9,July,2021,153.9,143.5,7.0,3.0
10,June,2021,150.0,140.1,6.0,2.0
11,May,2021,146.6,138.3,5.0,2.0
12,Apr,2021,142.9,133.8,4.0,2.0
13,Mar,2021,138.9,129.8,3.0,1.0
14,Feb,2021,133.8,124.9,2.0,1.0
15,Jan,2021,129.9,120.8,1.0,1.0
16,Dec,2020,127.3,119.0,12.0,4.0
17,Nov,2020,125.7,117.3,11.0,4.0
18,Oct,2020,126.4,118.5,10.0,4.0
19,Sept,2020,124.9,116.5,9.0,3.0
22,Aug,2020,127.5,118.5,8.0,3.0
23,July,2020,125.9,117.3,7.0,3.0
24,June,2020,121.8,113.9,6.0,2.0
25,May,2020,123.7,115.5,5.0,2.0
26,Apr,2020,126.9,116.9,4.0,2.0
27,Mar,2020,126.5,116.9,3.0,1.0
28,Feb,2020,141.9,133.4,2.0,1.0
29,Jan,2020,144.5,135.9,1.0,1.0
30,Dec,2019,141.7,131.4,12.0,4.0
31,Nov,2019,141.6,131.0,11.0,4.0
32,Oct,2019,143.9,133.7,10.0,4.0
34,Sept,2019,144.7,134.4,9.0,3.0
35,Aug,2019,141.3,131.5,8.0,3.0
36,July,2019,139.5,129.9,7.0,3.0
37,June,2019,143.9,133.4,6.0,2.0
38,May,2019,146.1,136.8,5.0,2.0
39,Apr,2019,142.3,137.0,4.0,2.0
40,Mar,2019,136.0,133.0,3.0,1.0
41,Feb,2019,134.5,129.8,2.0,1.0
42,Jan,2019,132.9,127.9,1.0,1.0
43,Dec,2018,136.9,131.9,12.0,4.0
44,Nov,2018,146.9,138.9,11.0,4.0
45,Oct,2018,147.9,141.9,10.0,4.0
46,Sept,2018,145.9,139.9,9.0,3.0
47,Aug,2018,144.9,135.8,8.0,3.0
48,July,2018,143.8,134.0,7.0,3.0
49,June,2018,147.6,137.8,6.0,2.0
50,May,2018,141.0,131.0,5.0,2.0
51,Apr,2018,137.6,127.1,4.0,2.0
52,Mar,2018,137.0,126.5,3.0,1.0
53,Feb,2018,138.1,127.7,2.0,1.0
54,Jan,2018,138.0,127.3,1.0,1.0
55,Dec,2017,138.3,127.1,12.0,4.0
56,Nov,2017,136.9,126.1,11.0,4.0
57,Oct,2017,134.9,123.4,10.0,4.0
58,Sept,2017,134.9,1.0,9.0,3.0
59,Aug,2017,132.4,119.7,8.0,3.0
60,July,2017,131.9,119.0,7.0,3.0
61,June,2017,134.3,122.0,6.0,2.0
62,May,2017,135.1,123.5,5.0,2.0
63,Apr,2017,136.6,126.0,4.0,2.0
64,Mar,2017,137.7,127.1,3.0,1.0
65,Feb,2017,136.7,126.4,2.0,1.0
66,Jan,2017,136.3,126.9,1.0,1.0
67,Dec,2016,131.4,121.9,12.0,4.0
68,Nov,2016,130.4,120.6,11.0,4.0
69,Oct,2016,128.8,117.0,10.0,4.0
70,Sept,2016,126.0,113.6,9.0,3.0
71,Aug,2016,127.5,114.3,8.0,3.0
72,July,2016,131.3,116.6,7.0,3.0
73,June,2016,132.8,117.0,6.0,2.0
74,May,2016,129.1,113.0,5.0,2.0
75,Apr,2016,126.0,111.1,4.0,2.0
76,Mar,2016,121.1,106.3,3.0,1.0
77,Feb,2016,121.9,105.4,2.0,1.0
78,Jan,2016,126.5,112.8,1.0,1.0
79,Dec,2015,129.5,118.0,12.0,4.0
80,Nov,2015,131.0,119.4,11.0,4.0
81,Oct,2015,134.0,120.1,10.0,4.0
82,Sept,2015,136.5,1.0,9.0,3.0
83,Aug,2015,143.6,128.8,8.0,3.0
84,Jul,2015,145.3,132.6,,
85,June,2015,144.6,133.0,6.0,2.0
86,May,2015,143.7,133.3,5.0,2.0
87,Apr,2015,138.9,130.5,4.0,2.0
88,Mar,2015,135.7,129.3,3.0,1.0
89,Feb,2015,128.4,122.4,2.0,1.0
90,Jan,2015,131.6,124.3,1.0,1.0
91,Dec,2014,142.4,134.0,12.0,4.0
92,Nov,2014,148.5,139.6,11.0,4.0
93,Oct,2014,154.3,144.6,10.0,4.0
94,Sept,2014,155.0,145.9,9.0,3.0
95,Aug,2014,156.3,146.6,8.0,3.0
96,Jul,2014,157.4,147.6,,
97,June,2014,155.0,146.8,6.0,2.0
98,May,2014,154.3,146.8,5.0,2.0
99,Apr,2014,153.0,147.1,4.0,2.0
100,Mar,2014,153.1,146.0,3.0,1.0
101,Feb,2014,152.1,146.7,2.0,1.0
102,Jan,2014,152.9,147.6,1.0,1.0
