Month,Year,Premium,Super Unleaded,Reg,Diesel
Mar,2022,,,182.4,190.5
Feb,2022,,,177.3,167.6
Jan-22,2022,,,175.5,166.1
Dec-21,2021,,,172.5,161.9
Nov,2021,,,172.6c,163.3
Oct,2021,,,164.6,156.6
,,,,+2c,+2.5c
Sept,2021,,,155.9,144.9
Aug,2021,,,155,144.4
July,2021,,,153.9,143.5
June,2021,,,150,140.1
May,2021,,,146.6,138.3
Apr,2021,,,142.9,133.8
Mar,2021,,,138.9,129.8
Feb,2021,,,133.8,124.9
Jan-21,2021,,,129.9,120.8
Dec-20,2020,,,127.3,119.0
Nov,2020,,,125.7,117.3
Oct,2020,,,126.4,118.5
Sept,2020,,,124.9,116.5
,,VAT temporarily,VAT temporarily,,
,,reduced to 21%,reduced to 21%,,
Aug,2020,,,127.5,118.5
July,2020,,,125.9,117.3
June,2020,,,121.8,113.9
May,2020,,,123.7,115.5
Apr,2020,,,126.9,116.9
Mar,2020,,,126.5,116.9
Feb,2020,,,141.9,133.4
Jan-20,2020,,,144.5,135.9
Dec-19,2019,,,141.7,131.4
Nov,2019,,,141.6,131.2
Oct,2019,Oc,,"143.9+2c","133.7+2c"
,,,,2,2.0
Sept,2019,,,144.7,134.4
Aug,2019,,,141.3,131.5
July,2019,,,139.5,129.9
June,2019,,,143.9,133.4
May,2019,,,146.1,136.8
Apr,2019,,,142.3,137.0
Mar,2019,,,136.2,133.0
Feb,2019,,,134.5,129.8
Jan,2019,,,132.9,127.9
Dec-18,2018,,,136.9,131.9
Nov,2018,,,146.9,138.9
Oct,2018,,,147.9,141.9
Sept,2018,,,145.9,139.9
Aug,2018,,,144.9,135.8
July,2018,,,143.8,134.2
June,2018,,,147.6,137.8
May,2018,,,141,131.0
Apr,2018,,,137.6,127.1
Mar,2018,,,137,126.5
Feb,2018,,,138.1,127.7
Jan,2018,,,138.2,127.3
Dec-17,2017,,,138.3,127.1
Nov,2017,,,136.9,126.1
Oct,2017,,,134.9,123.4
Sept,2017,,,134.9,122.1
Aug,2017,,,132.4,119.7
July,2017,,,131.9,119.2
June,2017,,,134.3,122.2
May,2017,,,135.1,123.5
Apr,2017,,,136.6,126.0
Mar,2017,,,137.7,127.1
Feb,2017,,,136.7,126.4
Jan,2017,,,136.3,126.9
Dec-16,2016,,,131.4,121.9
Nov,2016,,,130.4,120.6
Oct,2016,,,128.8,117.0
Sept,2016,,,126.2,113.6
Aug,2016,,,127.5,114.3
July,2016,,,131.3,116.6
June,2016,,,132.8,117.2
May,2016,,,129.1,113.2
Apr,2016,,,126,111.1
Mar,2016,,,121.1,106.3
Feb,2016,,,121.9,105.4
Jan,2016,,,126.5,112.8
Dec-15,2015,,,129.5,118.2
Nov,2015,,,131.2,119.4
Oct,2015,,,134.2,120.1
Sept,2015,,,136.5,122.1
Aug,2015,,,143.6,128.8
Jul,2015,,,145.3,132.6
June,2015,,,144.6,133.2
May,2015,,,143.7,133.3
Apr,2015,,,138.9,130.5
Mar,2015,,,135.7,129.3
Feb,2015,,,128.4,122.4
Jan,2015,,,131.6,124.3
Dec-14,2014,,,142.4,134.0
Nov,2014,,,148.5,139.6
Oct,2014,,,154.3,144.6
Sept,2014,,,155.2,145.9
Aug,2014,,,156.3,146.6
Jul,2014,,,157.4,147.6
June,2014,,,155,146.8
May,2014,,,154.3,146.8
Apr,2014,,,153.2,147.1
Mar,2014,,,153.1,146.0
Feb,2014,,,152.1,146.7
Jan,2014,14,,152.9,147.6
